id,name,full_name,legal_person,manager
002043.OF,天治研究驱动混合C,天治研究驱动灵活配置混合型证券投资基金,天治基金,TIAN HUAN
002046.OF,信诚新锐混合B,信诚新锐回报灵活配置混合型证券投资基金,中信保诚基金,杨立春、王颖
002048.OF,博时安誉18个月定开债,博时安誉18个月定期开放债券型证券投资基金,博时基金,程卓
002049.OF,融通新机遇灵活配置混合,融通新机遇灵活配置混合型证券投资基金,融通基金,余志勇、刘明
002051.OF,诺安创新驱动混合C,诺安创新驱动灵活配置混合型证券投资基金,诺安基金,蔡嵩松
002052.OF,诺安稳健回报灵活配置混合C,诺安稳健回报灵活配置混合型证券投资基金,诺安基金,郭晓晖、李玉良
002053.OF,诺安优势行业混合C,诺安优势行业灵活配置混合型证券投资基金,诺安基金,张强
002054.OF,中银新财富混合A,中银新财富灵活配置混合型证券投资基金,中银基金,苗婷
002055.OF,国泰兴益灵活配置混合C,国泰兴益灵活配置混合型证券投资基金,国泰基金,王琳
002056.OF,中银新财富混合C,中银新财富灵活配置混合型证券投资基金,中银基金,苗婷
002057.OF,中银新机遇混合A,中银新机遇灵活配置混合型证券投资基金,中银基金,苗婷
002058.OF,中银新机遇混合C,中银新机遇灵活配置混合型证券投资基金,中银基金,苗婷
002059.OF,国泰浓益灵活配置混合C,国泰浓益灵活配置混合型证券投资基金,国泰基金,樊利安
002060.OF,东方新策略灵活配置混合C,东方新策略灵活配置混合型证券投资基金,东方基金,严凯
002061.OF,国泰安康定期支付混合C,国泰安康定期支付混合型证券投资基金,国泰基金,王琳
002062.OF,国泰国策驱动灵活配置混合C,国泰国策驱动灵活配置混合型证券投资基金,国泰基金,戴计辉
002063.OF,国泰沪深300指数增强C,国泰沪深300指数增强型证券投资基金,国泰基金,谢东旭
002064.OF,华富产业升级灵活配置混合,华富产业升级灵活配置混合型证券投资基金,华富基金,陈启明、陈奇
002065.OF,景顺长城景盛双息收益债券A,景顺长城景盛双息收益债券型证券投资基金,景顺长城基金,何江波
